Name, Pressure, Lat, Long, Date, isIntentionalError, Pressure Description, ClusterAssigned
"Sandfields East","47.24","51.59112","-3.80509","2016-07-31","false","","A"
"Colnbrook with Poyle","47.61","51.4823","-0.51996","2020-11-28","false","","A"
"Castle Douglas and Crocketford","49.55","54.99408","-3.86875","2020-11-28","false","","A"
"Cowden and Hever","49.8","51.16423","0.094375","2018-04-14","false","","A"
"Dearne North","47.6","53.54385","-1.30624","2019-05-31","false","","A"
"Tilbury Riverside and Thurrock Park","48.07","51.4635","0.346641","2020-02-28","false","","A"
"Tarporley","46.34","53.17551","-2.62994","2016-01-25","false","","A"
"Mountain Ash West","45.58","51.67831","-3.39042","2020-05-28","false","","A"
"Brockham, Betchworth and Buckland","48.98","51.23234","-0.27457","2020-09-10","false","","A"
"Llysfaen","46.46","53.2811","-3.66366","2016-08-25","false","","A"
"Greystone","46.48","55.04114","-6.93171","2016-06-09","false","","A"
"Heath Hayes East and Wimblebury","46.69","52.69086","-1.98361","2019-06-11","false","","A"
"Aldermaston","48.69","51.38611","-1.17048","2020-07-30","false","","A"
"Droitwich South West","48.66","52.25988","-2.15876","2017-09-16","false","","A"
"Boho, Cleenish and Letterbreen","48.19","54.32768","-7.77627","2018-10-25","false","","A"
"Llanuwchllyn","45.61","52.85242","-3.63593","2016-10-19","false","","A"
"Middlecroft and Poolsbrook","48.94","53.26007","-1.35552","2018-04-01","false","","A"
"Brynwern","45.79","51.70069","-3.04389","2020-09-08","false","","A"
"Lindfield","45.3","51.00895","-0.07702","2019-10-29","false","","A"
"Westbourne","45.43","50.83058","-0.18437","2019-11-07","false","","A"
"Attleborough Queens & Besthorpe","47.34","52.51781","1.061528","2016-04-28","false","","A"
"Newport","45.29","51.97758","0.221111","2020-05-11","false","","A"
"Haughley and Wetherden","48.22","52.22864","0.952676","2017-07-21","false","","A"
"Oxenton Hill","49.51","51.96633","-2.09116","2020-01-21","false","","A"
"Greater Pollok","46.55","55.81528","-4.35231","2017-05-27","false","","A"
"Luton and Wayfield","48.83","51.36945","0.538209","2020-08-05","false","","A"
"Ewell Court","46.83","51.36549","-0.26261","2016-10-08","false","","A"
"Calver","48.04","53.27695","-1.66148","2017-11-01","false","","A"
"Fynn Valley","46.18","52.10254","1.203756","2019-10-18","false","","A"
"Claygate","47.38","51.36031","-0.33735","2018-12-13","false","","A"
"Kilfennan","47.07","54.99133","-7.28232","2020-03-29","false","","A"
"Basildon","46.08","51.50729","-1.16442","2017-03-14","false","","A"
"Glusburn","49.55","53.89967","-2.00798","2016-08-27","false","","A"
"Kingswinford South","49.85","52.49221","-2.16232","2016-10-16","false","","A"
"Skipton West","49.45","53.95029","-2.02937","2020-04-30","false","","A"
"Ludlow South","49.47","52.33744","-2.71831","2020-05-08","false","","A"
"College","46.35","51.89292","-2.07488","2019-01-17","false","","A"
"Court","47.78","51.41376","-3.26154","2017-11-06","false","","A"
"Oakley","49.33","51.79467","-1.075","2018-02-06","false","","A"
"Liskeard North","47.16","50.46588","-4.46892","2016-08-29","false","","A"
"Betws yn Rhos","45.56","53.22792","-3.65528","2017-09-11","false","","A"
"Ammerdown","47.53","51.26493","-2.40077","2018-06-24","false","","A"
"Southdown","47.61","51.37034","-2.39823","2019-08-23","false","","A"
"St. Mary's","46.37","51.63974","-2.67443","2016-08-22","false","","A"
"Shalford","46.49","51.2141","-0.58962","2017-08-26","false","","A"
"Brunswick Park","45.31","51.6276","-0.14588","2020-06-01","false","","A"
"Lowes Hill","45.06","52.34122","-2.05481","2016-06-05","false","","A"
"Oadby Grange","46.13","52.60847","-1.07979","2018-01-18","false","","A"
"Crowborough St. Johns","69.16","51.04823","0.140089","2017-02-07","true","","B"
"Tonypandy","66.72","51.62128","-3.46155","2019-04-25","true","","B"
